Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière des pertes modélisées (W);Energie moyenne journalière des consommations totales (Wh/jour);Energie moyenne journalière des consommations HTA télérelevées à courbe de charge (Wh/jour);Energie moyenne journalière des consommations totales profilées (Wh/jour);Energie moyenne journalière des consommations HTA profilées (Wh/jour);Energie moyenne journalière des consommations PME-PMI profilées (Wh/jour);Energie moyenne journalière des consommations professionnelles profilées (Wh/jour);Energie moyenne journalière des consommations résidentielles profilées (Wh/jour);Puissance moyenne journalière de la production décentralisée totale (W);Puissance moyenne journalière de la production décentralisée télérelevée à courbe de charge (W);Puissance moyenne journalière de la production décentralisée profilée (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production autre profilée (W);Température moyenne journalière réalisée lissée (°Celcius);Température moyenne journalière normale lissée (°Celcius);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Energie moyenne journalière des consommations HTA totales (Wh/jour);Pseudo rayonnement;Puissance moyenne journalière de la production autre  (W)
2013-03-11;3;48892155333.0;829187146.0;3317890195.0;49789074576.0;12804212296.0;36984862280.0;2201057698.0;5717087257.0;5894959522.0;23171757803.0;5554252498.0;5257976149.0;296276349.0;245320111.0;228055.0;8.0;8.3;2633684663.0;402682345.0;510255915.0;15005269994.0;;2517884623.0
2013-02-22;2;60284111563.0;1146477938.0;4512273122.0;60208030388.0;12917425825.0;47290604563.0;2644284883.0;6849484176.0;7522596215.0;30274239288.0;6221778023.0;5959137696.0;262640326.0;204507038.0;187367.0;1.9;7.1;3328500055.0;362873093.0;639108138.0;15561710708.0;;2530403858.0
2013-03-09;3;39762565917.0;325350563.0;2875462090.0;39841368635.0;9249889011.0;30591479624.0;1327695594.0;4223194700.0;4976417907.0;20064171423.0;3699656048.0;3425762936.0;273893112.0;223559177.0;207755.0;10.5;8.1;781695152.0;389354637.0;420040677.0;10577584605.0;;2528605211.0
2013-03-26;3;51093829813.0;320571875.0;3525591050.0;50733678354.0;13522215094.0;37211463260.0;2301169510.0;5948995021.0;6190644620.0;22770654109.0;4006562187.0;3672573528.0;333988660.0;282070157.0;257267.0;6.8;9.7;994090927.0;483953134.0;520550721.0;15823384604.0;;2528517114.0
2013-03-28;3;52242361438.0;178478583.0;3640876402.0;51351881264.0;13295440204.0;38056441059.0;2342909676.0;5980064632.0;6382328025.0;23351138727.0;3450278835.0;3116176198.0;334102637.0;282313385.0;256121.0;6.0;9.9;551157678.0;379644126.0;521404024.0;15638349880.0;;2519475270.0
2013-02-20;2;55508909583.0;535676458.0;3985062404.0;54978078069.0;13713424228.0;41264653842.0;2466489253.0;6042770351.0;6705856922.0;26049537316.0;4579354978.0;4316763910.0;262591068.0;204451815.0;187843.0;4.6;7.0;1697307281.0;400807524.0;589447629.0;16179913481.0;;2481239212.0
2013-03-22;3;46757363688.0;1146331021.0;3099802811.0;47817825305.0;12757375679.0;35060449626.0;2120166516.0;5442472732.0;6051280707.0;21446529672.0;5792727035.0;5479968675.0;312758360.0;261377523.0;240187.0;8.3;9.3;2833737538.0;447659111.0;486131585.0;14877542195.0;;2511329228.0
2013-03-25;3;49235895000.0;532469042.0;3344879584.0;49345997231.0;12805736407.0;36540260824.0;2041433535.0;5686408691.0;5715183894.0;23097234704.0;4495552490.0;4161747803.0;333804687.0;281886817.0;257267.0;7.5;9.6;1495595881.0;462687394.0;508101633.0;14847169942.0;;2537268183.0
2013-03-13;3;59137138479.0;329119417.0;4388294871.0;57889140361.0;13565445766.0;44323694595.0;2654708027.0;6645114689.0;7211464302.0;27812407577.0;4082053079.0;3785321891.0;296731187.0;245522348.0;227862.0;4.1;8.5;1206801966.0;370141826.0;612636909.0;16220153793.0;;2505108456.0
2013-03-03;3;49635465271.0;358105688.0;3852171862.0;48817891201.0;8772457276.0;40045433925.0;1594141567.0;4680917630.0;5151639909.0;28618734819.0;3942789693.0;3687491525.0;255298169.0;206724946.0;196096.0;3.8;7.7;1158057636.0;417556319.0;550086213.0;10366598843.0;;2367175054.0
