NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2016-01-01 00:00:00;1002.9;1011.7;5.7;3.6;8.4;3.4;7.8;99;16;76;31;31;31;31;31;31;;;;;0;4;9;2;0;;;;;;23;3;0;0;0;3;11.1;2016-01-27 00:00:00;-2.8;2016-01-19 00:00:00;13.9;2016-01-25 00:00:00;-6.2;2016-01-20 00:00:00;14.1;2016-01-30 00:00:00;25.8;2016-01-07 00:00:00;0;0;6;18
07015;2016-01-01 00:00:00;1005.6;1011.4;5.3;3.3;7.9;2.9;7.8;82;16;62;31;31;31;31;31;31;;;;;0;6;8;2;0;;;;;;24;3;0;0;0;3;10.7;2016-01-27 00:00:00;-2.5;2016-01-19 00:00:00;12.4;2016-01-25 00:00:00;-4.3;2016-01-19 00:00:00;12.5;2016-01-03 00:00:00;23.4;2016-01-07 00:00:00;0;;6;18
07020;2016-01-01 00:00:00;1007.9;1010.4;8.8;2.7;10.3;6.7;9.4;135;19;;30;30;31;30;31;0;;;;;0;2;10;4;0;;;;;;28;18;0;0;0;1;12.3;2016-01-24 00:00:00;0.4;2016-01-20 00:00:00;14;2016-01-24 00:00:00;-4.6;2016-01-20 00:00:00;20.9;2016-01-03 00:00:00;28;2016-01-07 00:00:00;0;1;6;18
07027;2016-01-01 00:00:00;1003.8;1012.1;6.2;3.3;9.2;3.5;8.4;87;15;69;31;31;31;31;31;31;;;;;0;3;7;1;0;;1;0;;;24;1;0;0;0;3;11.5;2016-01-27 00:00:00;-1.9;2016-01-20 00:00:00;13.2;2016-01-24 00:00:00;-5.4;2016-01-20 00:00:00;14.5;2016-01-30 00:00:00;23.5;2016-01-07 00:00:00;1;0;6;18
07037;2016-01-01 00:00:00;994.1;1012.7;4.9;3.7;7.7;2.3;7.8;105;19;58;31;31;31;31;31;31;;;;;0;7;7;2;0;;;;;;22;1;0;1;1;6;10.3;2016-01-27 00:00:00;-4;2016-01-19 00:00:00;13.1;2016-01-25 00:00:00;-7.1;2016-01-20 00:00:00;15;2016-01-30 00:00:00;25;2016-01-07 00:00:00;0;0;6;18
07072;2016-01-01 00:00:00;1002.4;1014.2;4.3;4.2;7.5;1.1;7.3;57;10;71;31;31;31;31;31;31;;;;;3;11;3;2;0;;;;;;18;0;0;0;1;4;10.9;2016-01-27 00:00:00;-5.1;2016-01-20 00:00:00;13.3;2016-01-31 00:00:00;-8.8;2016-01-20 00:00:00;14.3;2016-01-03 00:00:00;19.1;2016-01-30 00:00:00;0;;6;18
07110;2016-01-01 00:00:00;999.8;1011.3;8.5;2.1;11;5.9;9.4;287;25;49;31;31;31;31;31;31;;;;;;;18;14;0;;;;;;28;8;0;0;0;5;13.3;2016-01-24 00:00:00;5.5;2016-01-13 00:00:00;16.8;2016-01-24 00:00:00;1.6;2016-01-13 00:00:00;27.6;2016-01-06 00:00:00;28.3;2016-01-11 00:00:00;2;3;6;18
07117;2016-01-01 00:00:00;1003.7;1010.8;8.6;2.3;11.1;6.4;9.1;186;22;;31;31;31;31;31;0;;;;;;;13;6;0;;;;;;29;12;0;;;;14.5;2016-01-24 00:00:00;3.7;2016-01-19 00:00:00;17.8;2016-01-24 00:00:00;1.7;2016-01-20 00:00:00;24.6;2016-01-06 00:00:00;29.2;2016-01-02 00:00:00;;;6;18
07130;2016-01-01 00:00:00;1008.8;1013.3;6.9;3.1;10.4;3.9;8.8;88;15;59;31;31;31;31;31;31;;;;;0;4;6;3;0;;;;;;19;2;0;0;1;9;12.6;2016-01-31 00:00:00;1.4;2016-01-21 00:00:00;16.6;2016-01-24 00:00:00;-2.1;2016-01-17 00:00:00;16.5;2016-01-27 00:00:00;20;2016-01-02 00:00:00;1;;6;18
07139;2016-01-01 00:00:00;996.1;1013.9;5.3;3.2;8;3;8.1;89;19;46;31;31;31;31;31;31;;;;;0;8;7;2;0;;;;;;17;0;0;0;0;7;10.5;2016-01-27 00:00:00;-1.7;2016-01-21 00:00:00;13.5;2016-01-31 00:00:00;-4;2016-01-21 00:00:00;18.6;2016-01-03 00:00:00;19.4;2016-01-07 00:00:00;;;6;18
07149;2016-01-01 00:00:00;1003.1;1014.1;5.3;3.6;8.1;2.7;7.9;50;11;49;31;31;31;31;31;31;;;;;1;7;3;1;0;;1;0;;;18;2;0;0;3;6;10.6;2016-01-27 00:00:00;-3.5;2016-01-20 00:00:00;13.9;2016-01-31 00:00:00;-6.7;2016-01-21 00:00:00;11.3;2016-01-03 00:00:00;22.8;2016-01-07 00:00:00;0;0;6;18
07168;2016-01-01 00:00:00;1000.7;1015.2;4.8;3.7;8.3;1.3;7.7;60;14;61;31;31;31;31;31;31;;;;;0;11;4;1;0;;;;;;19;1;0;0;1;4;10.4;2016-01-27 00:00:00;-3.2;2016-01-20 00:00:00;14.8;2016-01-25 00:00:00;-8.7;2016-01-21 00:00:00;14.3;2016-01-30 00:00:00;22.1;2016-01-30 00:00:00;0;0;6;18
07181;2016-01-01 00:00:00;973.7;1015.6;3.6;3.9;6.4;0.9;7.2;92;18;;31;31;31;31;31;0;;;;;2;10;8;2;0;;3;2;;;22;2;0;0;0;6;9.9;2016-01-27 00:00:00;-5.7;2016-01-18 00:00:00;14;2016-01-25 00:00:00;-9.2;2016-01-18 00:00:00;16.9;2016-01-30 00:00:00;21.9;2016-01-30 00:00:00;0;0;6;18
07190;2016-01-01 00:00:00;997.4;1016.1;3.8;4;7.1;1;7;54;14;47;31;31;31;31;31;31;;;;;4;10;3;;;;;;;;15;0;0;0;2;12;10.7;2016-01-27 00:00:00;-5.1;2016-01-20 00:00:00;15;2016-01-26 00:00:00;-6.6;2016-01-20 00:00:00;8.3;2016-01-11 00:00:00;18;2016-01-30 00:00:00;0;;6;18
07207;2016-01-01 00:00:00;1008.4;1013.6;10.1;1.9;11.8;8;10.1;174;21;;31;31;31;31;31;0;;;;;;;10;7;0;;;;;;29;17;4;0;0;2;12.4;2016-01-31 00:00:00;5.7;2016-01-19 00:00:00;14;2016-01-25 00:00:00;3.1;2016-01-16 00:00:00;24.8;2016-01-06 00:00:00;31.4;2016-01-02 00:00:00;1;0;6;18
07222;2016-01-01 00:00:00;1011.3;1014.5;7.6;2.8;10.8;4.8;9.2;156;19;68;31;31;31;31;31;31;;;;;0;2;11;7;0;;;;;;19;3;0;0;2;4;12.4;2016-01-31 00:00:00;2.8;2016-01-21 00:00:00;16.2;2016-01-24 00:00:00;-1.5;2016-01-16 00:00:00;21;2016-01-03 00:00:00;24;2016-01-11 00:00:00;2;2;6;18
07240;2016-01-01 00:00:00;1001.4;1015.2;6.1;3.2;8.9;3.7;8.5;91;15;66;31;31;31;31;31;31;;;;;0;7;7;4;0;;;;;;17;1;0;0;3;8;11.5;2016-01-31 00:00:00;0;2016-01-21 00:00:00;14.6;2016-01-25 00:00:00;-2.1;2016-01-17 00:00:00;15.5;2016-01-10 00:00:00;20.3;2016-01-07 00:00:00;;;6;18
07255;2016-01-01 00:00:00;995.9;1016.3;5.2;3.1;8.5;2.5;7.8;132;17;62;31;31;31;31;31;31;;;;;0;8;10;4;0;;1;1;;;14;1;0;0;1;9;10.8;2016-01-31 00:00:00;-0.5;2016-01-18 00:00:00;16.5;2016-01-25 00:00:00;-3.1;2016-01-16 00:00:00;25.2;2016-01-30 00:00:00;21;2016-01-30 00:00:00;1;0;6;18
07280;2016-01-01 00:00:00;989.2;1017.1;4.2;3.1;7.5;1.6;7.4;81;15;48;31;31;31;31;31;31;;;;;1;10;7;2;0;;;;;;12;2;0;0;1;13;9.7;2016-01-31 00:00:00;-3.3;2016-01-18 00:00:00;14.1;2016-01-07 00:00:00;-6.1;2016-01-18 00:00:00;13.3;2016-01-30 00:00:00;21;2016-01-11 00:00:00;0;;6;18
07299;2016-01-01 00:00:00;983.6;1017.1;3.7;3.3;7.1;1;7;132;17;50;31;31;31;31;31;31;;;;;4;10;8;4;0;;4;0;;;16;2;0;2;3;7;8.5;2016-01-31 00:00:00;-4;2016-01-18 00:00:00;13.9;2016-01-31 00:00:00;-7.9;2016-01-18 00:00:00;26.6;2016-01-30 00:00:00;20.9;2016-01-11 00:00:00;0;0;6;18
07314;2016-01-01 00:00:00;1013.2;1016;9.7;2.1;11.7;7.5;10;141;18;;31;31;31;31;31;0;;;;;;;9;4;0;;;;;;28;12;1;0;0;2;12.4;2016-01-31 00:00:00;4.6;2016-01-21 00:00:00;15.9;2016-01-25 00:00:00;2.4;2016-01-21 00:00:00;28;2016-01-06 00:00:00;31.2;2016-01-11 00:00:00;2;1;6;18
07335;2016-01-01 00:00:00;1001.3;1016;6.7;2.9;9.8;4;8.9;78;12;76;31;31;31;31;31;31;;;;;0;5;8;3;0;;;;;;18;0;0;0;1;9;12.5;2016-01-31 00:00:00;1.7;2016-01-16 00:00:00;15.8;2016-01-24 00:00:00;-3.8;2016-01-17 00:00:00;11.2;2016-01-10 00:00:00;19.8;2016-01-11 00:00:00;1;0;6;18
07434;2016-01-01 00:00:00;968.7;1017.3;5.4;2.9;8.3;3.3;8.2;163;19;60;31;31;31;31;31;31;;;;;0;6;11;6;0;;1;0;;;15;2;0;0;3;19;10.4;2016-01-31 00:00:00;-1.2;2016-01-17 00:00:00;14.4;2016-01-25 00:00:00;-3.9;2016-01-17 00:00:00;27;2016-01-06 00:00:00;20.7;2016-01-11 00:00:00;1;1;6;18
07460;2016-01-01 00:00:00;977.8;1017.3;6.4;3;10.9;3.1;7.4;54;13;81;31;31;31;31;31;31;;;;;0;7;4;;;;;;;;21;3;0;0;0;5;13.5;2016-01-31 00:00:00;0.5;2016-01-17 00:00:00;19.6;2016-01-27 00:00:00;-2.8;2016-01-22 00:00:00;8.9;2016-01-06 00:00:00;22;2016-01-10 00:00:00;0;;6;18
07471;2016-01-01 00:00:00;;;3.4;3.3;7.8;-0.4;6.5;43;13;76;0;31;31;31;31;31;;;;;2;17;3;;;;;;;;18;1;0;0;0;3;9.3;2016-01-31 00:00:00;-2.8;2016-01-18 00:00:00;17.8;2016-01-27 00:00:00;-8;2016-01-22 00:00:00;9.2;2016-01-03 00:00:00;20.5;2016-01-11 00:00:00;0;;6;18
07481;2016-01-01 00:00:00;988.8;1018;6.5;3.3;9.6;4.1;7.9;60;12;;31;31;31;31;31;0;;;;;0;5;5;1;0;;4;2;;;20;2;0;0;3;8;11.3;2016-01-28 00:00:00;-0.5;2016-01-18 00:00:00;14.7;2016-01-26 00:00:00;-3;2016-01-18 00:00:00;10;2016-01-02 00:00:00;23;2016-01-03 00:00:00;0;0;6;18
07510;2016-01-01 00:00:00;1011.9;1017.8;8.8;2.4;12.4;6;10;234;19;58;31;31;31;31;31;31;;;;;0;2;14;10;0;;;;;;17;2;0;0;1;11;12.8;2016-01-31 00:00:00;3;2016-01-16 00:00:00;17.2;2016-01-25 00:00:00;-2.3;2016-01-16 00:00:00;38.9;2016-01-06 00:00:00;28.6;2016-01-11 00:00:00;2;;6;18
