Maille géographique,Année,Nom IRIS,Code IRIS,Type IRIS,Nom commune,Code commune,Nom EPCI,Code EPCI,Type EPCI,Nom département,Code département,Nom région,Code région,Nb sites secteur résidentiel,Conso totale secteur résidentiel (MWh),Conso moyenne secteur résidentiel (MWh),Nb sites Agriculture,Conso totale Agriculture (MWh),Nb sites Industrie,Conso totale Industrie (MWh),Nb sites Tertiaire,Conso totale Tertiaire (MWh),Nb sites Secteur non affecté,Conso totale Secteur non affecté (MWh)
EPCI,2015,,,,,,CC du Pays de Pontchâteau St Gildas des Bois,200000438,CC,Loire-Atlantique,,Pays de la Loire,,16907,109702.331521822,6.48857464492944,8,1173.69142763226,43,24076.6696176225,95.0,23539.9339158711,,
EPCI,2011,,,,,,CU Nantes Métropole,244400404,CU,Loire-Atlantique,,Pays de la Loire,,337164,1529891.60680818,4.53752953105368,28,6759.71981350564,638,426994.114533206,3340.0,1048347.60814676,34,1408.0310341862
EPCI,2014,,,,,,CC de la Région de Machecoul,244400420,CC,Loire-Atlantique,,Pays de la Loire,,9920,70346.5069176049,7.0913817457263,31,4279.35290153619,31,8434.82877113738,77.0,15009.5468197473,4,37.0926519574084
EPCI,2012,,,,,,CC de Grand Lieu,244400438,CC,Loire-Atlantique,,Pays de la Loire,,16305,124593.370346415,7.64142105773779,41,10141.9762540651,67,50200.0805481633,116.0,19199.9715676966,0,0.0
EPCI,2014,,,,,,CC de Grand Lieu,244400438,CC,Loire-Atlantique,,Pays de la Loire,,16798,117101.683032035,6.97116817668977,44,8767.72004551386,73,52726.7991920806,118.0,20791.5263719773,,
EPCI,2011,,,,,,CC de la Vallée de Clisson,244400446,CC,Loire-Atlantique,,Pays de la Loire,,17495,114839.947222925,6.56415817221634,34,8098.52892572461,51,45447.2565048827,113.0,19751.7506727165,,
EPCI,2012,,,,,,CC de la Région de Blain,244400453,CC,Loire-Atlantique,,Pays de la Loire,,7396,53448.3070079011,7.22665048781789,4,553.213365584438,,,57.0,11896.4909598216,0,0.0
EPCI,2015,,,,,,CC de la Région de Blain,244400453,CC,Loire-Atlantique,,Pays de la Loire,,7611,52094.8670640906,6.84468099646441,4,478.074542049985,,,56.0,12063.8021476407,0,0.0
EPCI,2011,,,,,,CC du Castelbriantais,244400487,CC,Loire-Atlantique,,Pays de la Loire,,17632,113496.009229845,6.43693337283605,25,3343.64997167211,68,113062.260102599,158.0,27608.7768230007,,
EPCI,2012,,,,,,CC du Castelbriantais,244400487,CC,Loire-Atlantique,,Pays de la Loire,,17771,122595.892662757,6.89864907223887,25,3273.43085964697,72,115373.275758263,168.0,29159.1853629385,8,6.097
EPCI,2013,,,,,,CC du Castelbriantais,244400487,CC,Loire-Atlantique,,Pays de la Loire,,17891,126978.739845163,7.09735285032494,25,3497.50433988417,74,116815.791137325,173.0,29891.5077061721,11,28.6425333201632
EPCI,2014,,,,,,CC du Castelbriantais,244400487,CC,Loire-Atlantique,,Pays de la Loire,,17956,114535.117145236,6.37865432976364,25,3372.57200416539,70,105944.172859021,172.0,29459.6698859405,,
EPCI,2015,,,,,,CC du Secteur de Derval,244400495,CC,Loire-Atlantique,,Pays de la Loire,,5462,39695.2329974868,7.26752709584161,13,1451.6720243294,18,1716.72273624025,30.0,4719.0650918322,0,0.0
EPCI,2014,,,,,,CC de la Loire Atlantique Méridionale,244400529,CC,Loire-Atlantique,,Pays de la Loire,,4463,30360.884970692,6.80279743909747,13,1188.06924017153,16,4632.36145270424,37.0,5730.98351565215,0,0.0
EPCI,2011,,,,,,CC de la Région de Nozay,244400537,CC,Loire-Atlantique,,Pays de la Loire,,7065,51377.0264132321,7.27204903230461,3,936.505401207084,13,6146.64454383764,46.0,8356.6490825201,,
